"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.232701952E0,-3.445251465E0,2.968750000E-1,9.209289551E0,9.837118808E0
1.237706835E0,-3.177703857E0,5.955505371E-1,7.842208862E0,8.482495039E0
1.242711718E0,-3.050811768E0,7.721252441E-1,9.883270264E0,1.037220618E1
1.247716600E0,-3.614044189E0,2.286529541E-1,8.300094604E0,9.055670490E0
1.252721483E0,-3.599090576E0,3.381805420E-1,8.124130249E0,8.892092631E0
1.257726366E0,-3.849273682E0,8.978271484E-2,8.872909546E0,9.672305445E0
1.262731249E0,-4.483734131E0,-3.657073975E-1,7.201751709E0,8.491339196E0
1.267736132E0,-3.863037109E0,3.878631592E-1,9.151229858E0,9.940749542E0
1.272741015E0,-4.096481323E0,2.597656250E-1,8.179794312E0,9.151921787E0
1.277745897E0,-4.222778320E0,3.250122070E-1,6.072891235E0,7.403883956E0
1.282750780E0,-3.885787964E0,5.321044922E-1,8.587997437E0,9.441196071E0
1.287755663E0,-4.438247681E0,-2.232666016E-1,8.126525879E0,9.262198082E0
1.292760546E0,-4.189254761E0,4.968261719E-2,8.237243652E0,9.241455881E0
1.297765429E0,-4.007293701E0,1.735839844E-1,8.878295898E0,9.742313497E0
1.302770311E0,-4.389770508E0,-8.140563965E-2,6.073486328E0,7.494261015E0
1.307775194E0,-4.012680054E0,4.058227539E-1,7.589614868E0,8.594681330E0
1.312749559E0,-4.238937378E0,9.277343750E-2,8.316253662E0,9.334734703E0
1.317754442E0,-4.641159058E0,-1.729736328E-1,7.157470703E0,8.532271921E0
1.322759325E0,-4.262283325E0,1.538238525E-1,9.226058960E0,1.016419622E1
1.327764208E0,-4.627990723E0,-2.172698975E-1,7.597991943E0,8.899156472E0
1.332738573E0,-4.429275513E0,-8.377075195E-3,6.970123291E0,8.258399992E0
1.337743456E0,-4.152145386E0,1.190185547E-3,9.008178711E0,9.919052193E0
1.342748339E0,-4.551971436E0,-4.459228516E-1,7.407058716E0,8.705389707E0
1.347753222E0,-3.761886597E0,2.549896240E-1,8.516769409E0,9.314084584E0
1.352758104E0,-4.188659668E0,-2.483978271E-1,8.939346313E0,9.875144749E0
1.357732470E0,-4.744110107E0,-6.721649170E-1,7.020996094E0,8.500163089E0
1.362737352E0,-4.270065308E0,-3.591918945E-2,8.360549927E0,9.387946687E0
1.367742235E0,-4.941635132E0,-3.118438721E-1,8.468292236E0,9.809636985E0
1.372716600E0,-4.919479370E0,2.011108398E-1,7.566268921E0,9.027189387E0
1.377721483E0,-4.827316284E0,7.589569092E-1,7.838012695E0,9.236527546E0
1.382726366E0,-4.999099731E0,3.178253174E-1,6.095031738E0,7.889323352E0
1.387639696E0,-4.539413452E0,7.553710938E-1,7.799713135E0,9.056068958E0
1.392614061E0,-4.340682983E0,8.637084961E-1,9.501388550E0,1.048159842E1
1.397588427E0,-4.444839478E0,7.356109619E-1,7.329849243E0,8.603744034E0
1.402593309E0,-4.093490601E0,1.207275391E0,8.249816895E0,9.288361425E0
1.407598192E0,-4.559158325E0,8.816680908E-1,8.250411987E0,9.467447450E0
1.412603075E0,-4.833297729E0,8.463439941E-1,7.184402466E0,8.700155395E0
1.417607958E0,-4.887756348E0,1.015747070E0,8.650253296E0,9.987431417E0
1.422612841E0,-5.070922852E0,7.062835693E-1,6.866577148E0,8.565219015E0
1.427617724E0,-4.806961060E0,7.368164062E-1,6.532577515E0,8.143975812E0
1.432622606E0,-4.959594727E0,3.202209473E-1,8.841781616E0,1.014284100E1
1.437627489E0,-5.088882446E0,2.346343994E-1,7.779357910E0,9.298934743E0
1.442632372E0,-4.493316650E0,6.907196045E-1,7.657257080E0,8.905086978E0
1.447637255E0,-4.518463135E0,3.459625244E-1,7.495651245E0,8.759051704E0
1.452642138E0,-4.687255859E0,3.004760742E-1,6.883926392E0,8.333612418E0
1.457647020E0,-4.097671509E0,6.458435059E-1,9.181762695E0,1.007535567E1
1.462651903E0,-4.489730835E0,3.316040039E-1,7.312484741E0,8.587204276E0
1.467656786E0,-3.855865479E0,1.058837891E0,6.433822632E0,7.575150819E0
1.472661669E0,-4.955398560E0,-8.798217773E-2,9.027343750E0,1.029838099E1
1.477666552E0,-5.074508667E0,-1.675415039E-2,7.511215210E0,9.064726849E0
1.482671434E0,-4.299987793E0,1.047515869E-1,7.680007935E0,8.802464984E0
1.487676317E0,-5.048171997E0,-2.196655273E-1,7.638702393E0,9.158715396E0
1.492681200E0,-5.161895752E0,6.141052246E-1,7.320266724E0,8.978229106E0
1.497655565E0,-5.083496094E0,4.345550537E-1,8.258804321E0,9.707657773E0
1.502660448E0,-5.802352905E0,-3.603210449E-1,7.626724243E0,9.589789006E0
1.507665331E0,-5.315719604E0,1.999206543E-1,7.376541138E0,9.094514959E0
1.512639696E0,-4.990112305E0,1.951293945E-1,8.880096436E0,1.018800319E1
1.517644579E0,-5.237319946E0,-2.124786377E-1,6.869567871E0,8.640927620E0
1.522649462E0,-5.000289917E0,-5.950927734E-4,8.167221069E0,9.576345838E0
1.527654345E0,-4.906311035E0,-1.167144775E-1,9.390655518E0,1.059575015E1
1.532659227E0,-5.313339233E0,-4.058227539E-1,6.980300903E0,8.781848702E0
